댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgxZnd5sCjI-ivLO68B4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-01T07:12:51.167596+00:00,0,,,uP9Qkvsq21o,"{""text"":""14만ㄷㄷ""}",
UgzQou8qzXqv46cFGjJ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-31T14:53:31.017173+00:00,0,,,e0DGdA-t_2Y,"{""text"":""12만가자!""}",
Ugzy3Lqvx3dVyuSv4_x4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-31T13:09:54.557943+00:00,0,,,X4tP5_rceJw,"{""text"":""20만 가즈아!""}",
UgzZAGcsiM8WIniJK4V4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-31T11:32:47.049919+00:00,0,,,cLmCJKT5ssw,"{""text"":""1:09"",""videoLink"":{""externalVideoId"":""cLmCJKT5ssw"",""startTimeSeconds"":69}}",
UgwzBhmIJI359ZwOENN4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-30T07:28:19.352325+00:00,0,,,N8QNOr2asmU,"{""text"":""뭐지 오늘4만본것같은데 1시까지만해도 4.7이었는데 뭐지 이사람들..?;;""}",
Ugy9ykQ39QfSPav4Bc54AaABAg.96hOODuf9DV96hVd5ziB_Y,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-27T10:49:15.66864+00:00,0,Ugy9ykQ39QfSPav4Bc54AaABAg,,c4PRIDDVs1M,"{""text"":""주니님 맞아요""}",Ugy9ykQ39QfSPav4Bc54AaABAg
UgyAbCKQp720MwKhy1p4AaABAg.96hQ3BPXKMU96hVRab_Zys,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-27T10:47:33.205742+00:00,0,UgyAbCKQp720MwKhy1p4AaABAg,,c4PRIDDVs1M,"{""text"":""큰일나요 역차별이긴한데""}",UgyAbCKQp720MwKhy1p4AaABAg
UgwupxOFIVkZH6C80wV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-24T10:54:57.500319+00:00,0,,,8CyvQter3vQ,"{""text"":""1:31"",""videoLink"":{""externalVideoId"":""8CyvQter3vQ"",""startTimeSeconds"":91}},{""text"":"" 개소리""}",
UgycU_vtP8M3D9gxLDx4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-23T12:26:11.858128+00:00,0,,,ot82bAO63OI,"{""text"":""사이좋은 거 다 뒤졌네""}",
UgzF0mQGpdLRduFx7d54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-23T10:58:34.865914+00:00,0,,,0SrwS5R5pSI,"{""text"":""다음컨셉 마피아 크루""}",
Ugyqc8LmIjm5LYBX0il4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-17T10:30:13.925927+00:00,0,,,LcyD5zTPtms,"{""text"":""너무재밌는데요?""}",
UgzOu08TPEzhICDpRqZ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-03-12T10:57:25.420962+00:00,0,,,gyLVTwwGXk0,"{""text"":""5:28"",""videoLink"":{""externalVideoId"":""gyLVTwwGXk0"",""startTimeSeconds"":328}},{""text"":"" \""SURVIVE IF YOU CAN\""=\""만약 너가 살 수 있다면 살아봐\"" 같은느낌""}",
UgxE2zA5DBNUu-gNeup4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-02-29T09:34:31.606449+00:00,0,,,7I5DECTqR40,"{""text"":""6:37"",""videoLink"":{""externalVideoId"":""7I5DECTqR40"",""startTimeSeconds"":397}},{""text"":"" 사실 노래하러왔지롱~""},{""text"":""\n""},{""text"":""9:15"",""videoLink"":{""externalVideoId"":""7I5DECTqR40"",""startTimeSeconds"":555}},{""text"":"" 트위치파이팅!""}",
