댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgxFCF0c4pl0rjZ3q5p4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-24T14:03:56.063567+00:00,0,,,_E6OwS6luZw,"{""text"":""k/da의 팝스타는 단지 노래와 가수, 의상빨이라는걸 알았다 롤 공식 개막식에서본 팝스타는 무대의 웅장함에 넉을 잃고 봤었지만 원래 (여자)아이들이 추던춤과 다르게 생각보다 단순하게 보이는 팝스타의 안무에 무언가 허전함을 느꼈다. ""},{""text"":""\n""},{""text"":""\n""},{""text"":""결론: 안무가 좀더 빡셌음 좋았겠다""}",
Ugz-DJSdc3-Pp04OTyR4AaABAg.9CfD4btDr8g9CiYiQ1_De1,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-23T23:43:48.401532+00:00,0,Ugz-DJSdc3-Pp04OTyR4AaABAg,,nvLA_BZY_iA,"{""text"":""오 위즈원""}",Ugz-DJSdc3-Pp04OTyR4AaABAg
UgyxJq4jv47BXMeNtfp4AaABAg.9CMl3a4R2U-9ChwHCJE5pz,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-23T17:59:10.017034+00:00,0,UgyxJq4jv47BXMeNtfp4AaABAg,,CN_5ZLLrOng,"{""text"":""참치아니고 상어아니고 방어아닌가요?""}",UgyxJq4jv47BXMeNtfp4AaABAg
Ugw6J-zFEEN2MdMVCTh4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-23T13:43:45.658548+00:00,0,,,1MLRnaGGTp0,"{""text"":""7!*(X)2=7팩(팩토리얼)곱하기 2 아닌가?""},{""text"":""\n""},{""text"":""7X6X5X4X3X2X2=10080""}",
UgwAOAq0WhPl-PSzYR14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-23T09:59:42.711655+00:00,0,,,y024P2kJNGM,"{""text"":""영상에 안맞는 댓글이지만  박쫀득씨 영상보다가 자동재생에서 나왔어요""}",
UgyAHjCAFCqdllXg6Yl4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-22T09:17:43.417823+00:00,0,,,kV9vrjZ1U_g,"{""text"":""양털을 어디서 구해?""}",
UgwTOt71H0Xtsi4Db8N4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-22T04:15:54.464546+00:00,0,,,COpGxZLKm2I,"{""text"":""패파 커맨드 삭제""}",
UgyYTaxzJsVLTs9OHHB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-21T14:55:18.817133+00:00,0,,,EGuUzBKr0DI,"{""text"":""저거 뉴띵로얄에서 평화존버로 챌린저가면 부활1회 아니였나요?""}",
UgwikpqqJpOzYHlV6_d4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-18T16:10:40.608976+00:00,0,,,HA4lyk7x_Ck,"{""text"":""27:44"",""videoLink"":{""externalVideoId"":""HA4lyk7x_Ck"",""startTimeSeconds"":1664}},{""text"":"" 프니엘 \""왜이런 인사를 하지? 불안하게\""플래그""}",
UgzPBYSZ4sISXACj6tl4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-18T03:14:09.017258+00:00,0,,,sjUIdqoxAaU,"{""text"":""아 뉴비척살 에바네 ㅋㅋ""}",
